lat,lon,timestamp,
44.991981,7.774865,00:00:00,
44.9883879,7.7792594,00:00:30,
44.9837647,7.7812147,00:01:00,
44.9811471,7.7846188,00:01:30,
44.976405,7.7854488,00:02:00,
44.976405,7.7854488,00:02:30,
44.976405,7.7854488,00:03:00,
44.976405,7.7854488,00:03:30,
44.976405,7.7854488,00:04:00,
44.976405,7.7854488,00:04:30,
44.976405,7.7854488,00:05:00,
44.976405,7.7854488,00:05:30,
44.976405,7.7854488,00:06:00,
44.9718437,7.7874068,00:06:30,
44.9672105,7.7855522,00:07:00,
44.9646331,7.7804583,00:07:30,
44.9621148,7.7787803,00:08:00,
44.9621148,7.7787803,00:08:30,
44.9621148,7.7787803,00:09:00,
44.9621148,7.7787803,00:09:30,
44.9621148,7.7787803,00:10:00,
44.9621148,7.7787803,00:10:30,
44.9586113,7.782564,00:11:00,
44.9596203,7.7890711,00:11:30,
44.9593316,7.7958912,00:12:00,
44.9590389,7.802711,00:12:30,
44.958753,7.8095313,00:13:00,
44.9584316,7.8163482,00:13:30,
44.9580194,7.8231556,00:14:00,
44.9576061,7.8299627,00:14:30,
44.9572133,7.8367722,00:15:00,
44.9568975,7.8435894,00:15:30,
44.9566225,7.8504103,00:16:00,
44.9563491,7.8572314,00:16:30,
44.9560689,7.8640519,00:17:00,
44.9558009,7.8708733,00:17:30,
44.9555418,7.8776953,00:18:00,
44.9552827,7.8845174,00:18:30,
44.9550162,7.8913388,00:19:00,
44.9547254,7.8981582,00:19:30,
44.954441,7.9049782,00:20:00,
44.9541218,7.9117942,00:20:30,
44.9534877,7.9185653,00:21:00,
44.9527,7.9252459,00:21:30,
44.9520067,7.9320017,00:22:00,
44.9512513,7.9387492,00:22:30,
44.9505005,7.9454977,00:23:00,
44.9497599,7.9522483,00:23:30,
44.9490011,7.9589947,00:24:00,
44.9482479,7.9657423,00:24:30,
44.9471879,7.9723893,00:25:00,
44.9446291,7.9781416,00:25:30,
44.9412477,7.9830222,00:26:00,
44.9380071,7.9880877,00:26:30,
44.9351842,7.993629,00:27:00,
44.9325424,7.9993483,00:27:30,
44.9299069,8.0050734,00:28:00,
44.9272547,8.0107828,00:28:30,
44.9246059,8.0164951,00:29:00,
44.9219577,8.0222076,00:29:30,
44.9193021,8.0279131,00:30:00,
44.9166541,8.0336254,00:30:30,
44.9139857,8.0393184,00:31:00,
44.9112707,8.0449638,00:31:30,
44.9083087,8.0503577,00:32:00,
44.9052877,8.0556871,00:32:30,
44.9025472,8.0612835,00:33:00,
44.9018316,8.0679439,00:33:30,
44.9026265,8.074672,00:34:00,
44.9032265,8.0814442,00:34:30,
44.9037895,8.0882235,00:35:00,
44.904368,8.0950002,00:35:30,
44.9045908,8.1018053,00:36:00,
44.9038145,8.1085306,00:36:30,
44.9026946,8.1151706,00:37:00,
44.9016437,8.1218304,00:37:30,
44.9013819,8.128634,00:38:00,
44.9016439,8.1354408,00:38:30,
44.902496,8.1421587,00:39:00,
44.903236,8.1489033,00:39:30,
44.9039342,8.1556574,00:40:00,
44.9046523,8.1624069,00:40:30,
44.9059794,8.1689513,00:41:00,
44.907033,8.1752972,00:41:30,
44.9046199,8.1788075,00:42:00,
44.9058986,8.1852486,00:42:30,
44.9027063,8.1902337,00:43:00,
44.8988804,8.193381,00:43:30,
44.8959746,8.189799,00:44:00,
44.8949882,8.1833626,00:44:30,
44.8962261,8.1768249,00:45:00,
44.8965607,8.1700366,00:45:30,
