lat,lon,timestamp
45.0618513,76.606506,00:00
45.0575226,76.618322,00:30
45.0531939,76.630137,01:00
45.0488652,76.641953,01:30
45.0445365,76.653768,02:00
45.0402078,76.665584,02:30
45.0358791,76.677399,03:00
45.0315504,76.689215,03:30
45.0272217,76.701030,04:00
45.0245745,76.747252,04:30
45.0222637,76.800358,05:00
45.0199529,76.853464,05:30
45.0176421,76.906570,06:00
45.0153314,76.959676,06:30
45.0130206,77.012782,07:00
45.0107098,77.065887,07:30
45.0083990,77.118993,08:00
45.0060882,77.172099,08:30
45.0037775,77.225205,09:00
45.0014667,77.278311,09:30
44.9991559,77.331417,10:00
44.9975577,77.389417,10:30
44.9960112,77.447771,11:00
44.9944646,77.506125,11:30
44.9929180,77.564479,12:00
44.9913714,77.622833,12:30
44.9898248,77.681187,13:00
44.9882782,77.739541,13:30
44.9867316,77.797895,14:00
44.9851850,77.856249,14:30
44.9836384,77.914603,15:00
44.9820918,77.972957,15:30
44.9805452,78.031311,16:00
44.9789986,78.089665,16:30
44.9774520,78.148019,17:00
44.9759054,78.206374,17:30
44.9743588,78.264728,18:00
44.9728122,78.323082,18:30
44.9712656,78.381436,19:00
44.9697190,78.439790,19:30
44.9681724,78.498144,20:00
44.9666258,78.556498,20:30
44.9650792,78.614852,21:00
44.9635326,78.673206,21:30
44.9619860,78.731560,22:00
44.9604394,78.789914,22:30
44.9588929,78.848268,23:00
44.9573463,78.906622,23:30
44.9557997,78.964976,24:00
44.9542531,79.023330,24:30
44.9527065,79.081684,25:00
44.9511599,79.140038,25:30
44.9496133,79.198392,26:00
44.9480667,79.256746,26:30
44.9465201,79.315100,27:00
44.9449735,79.373454,27:30
44.9433060,79.431098,28:00
44.9416231,79.488653,28:30
44.9399403,79.546207,29:00
44.9382575,79.603761,29:30
44.9365747,79.661316,30:00
44.9348919,79.718870,30:30
44.9332091,79.776425,31:00
44.9315263,79.833979,31:30
44.9298435,79.891533,32:00
44.9281607,79.949088,32:30
44.9264779,80.006642,33:00
44.9247951,80.064197,33:30
44.9231123,80.121751,34:00
44.9214294,80.179305,34:30
44.9197466,80.236860,35:00
44.9180638,80.294414,35:30
44.9163810,80.351968,36:00
44.9157423,80.413017,36:30
44.9154093,80.475089,37:00
44.9150762,80.537161,37:30
44.9147431,80.599233,38:00
44.9144101,80.661305,38:30
44.9140770,80.723377,39:00
44.9137439,80.785449,39:30
44.9134109,80.847521,40:00
44.9130778,80.909593,40:30
44.9127447,80.971665,41:00
44.9124117,81.033737,41:30
44.9120786,81.095808,42:00
44.9117455,81.157880,42:30
44.9114125,81.219952,43:00
44.9110794,81.282024,43:30
44.9107463,81.344096,44:00
44.9104132,81.406168,44:30
44.9100802,81.468240,45:00
44.9097471,81.530312,45:30
44.9094140,81.592384,46:00
44.9090810,81.654456,46:30
44.9087479,81.716527,47:00
44.9084148,81.778599,47:30
