lat,lon,timestamp
42.560463,12.647059,00:00:00
42.558061,12.6406244,00:00:30
42.56332,12.636902,00:01:00
42.5675694,12.6325967,00:01:30
42.5733433,12.6282329,00:02:00
42.5721505,12.624905,00:02:30
42.570378,12.6160449,00:03:00
42.5700078,12.6067606,00:03:30
42.5697601,12.5974694,00:04:00
42.5694755,12.5881793,00:04:30
42.5691115,12.5788948,00:05:00
42.5686826,12.5696166,00:05:30
42.5669715,12.5606408,00:06:00
42.5639685,12.5522874,00:06:30
42.560893,12.5439805,00:07:00
42.5571314,12.5363891,00:07:30
42.5519409,12.5304954,00:08:00
42.5482229,12.5227342,00:08:30
42.5425081,12.5176339,00:09:00
42.5401711,12.509303,00:09:30
42.5408053,12.5004631,00:10:00
42.5424793,12.4917203,00:10:30
42.539668,12.4833456,00:11:00
42.5337493,12.4788884,00:11:30
42.5290373,12.4722349,00:12:00
42.5227517,12.469644,00:12:30
42.5167062,12.465547,00:13:00
42.5107154,12.4684204,00:13:30
42.5044721,12.4659273,00:14:00
42.4978367,12.4646822,00:14:30
42.4913349,12.4628848,00:15:00
42.4865453,12.4562483,00:15:30
42.483122,12.4482618,00:16:00
42.4791397,12.4407807,00:16:30
42.4752581,12.4334036,00:17:00
42.4692202,12.4292115,00:17:30
42.4637133,12.4239567,00:18:00
42.4624338,12.420293,00:18:30
42.4575229,12.4138846,00:19:00
42.4526076,12.4085713,00:19:30
42.4491321,12.4115443,00:20:00
42.4444518,12.4176338,00:20:30
42.4377875,12.4197544,00:21:00
42.43252,12.4254044,00:21:30
42.4277178,12.4320017,00:22:00
42.421828,12.4367218,00:22:30
42.4158705,12.4412932,00:23:00
42.4104387,12.4469315,00:23:30
42.4051005,12.4527396,00:24:00
42.399737,12.4585032,00:24:30
42.3941727,12.4639081,00:25:00
42.3886001,12.4692941,00:25:30
42.3819375,12.4711384,00:26:00
42.3751532,12.4711485,00:26:30
42.3683232,12.4707313,00:27:00
42.361476,12.4707173,00:27:30
42.3546338,12.4710902,00:28:00
42.3478009,12.470905,00:28:30
42.3412119,12.4688828,00:29:00
42.3347536,12.4666873,00:29:30
42.3298967,12.4727032,00:30:00
42.3269076,12.4810305,00:30:30
42.322517,12.4880547,00:31:00
42.3164629,12.4921875,00:31:30
42.3099338,12.4946196,00:32:00
42.3033105,12.4933723,00:32:30
42.2968423,12.496411,00:33:00
42.2905367,12.4999274,00:33:30
42.2867528,12.5074517,00:34:00
42.2841534,12.5160152,00:34:30
42.2811066,12.5242756,00:35:00
42.2774267,12.532081,00:35:30
42.2737865,12.5399195,00:36:00
42.2701026,12.5477206,00:36:30
42.264197,12.5519318,00:37:00
42.2577038,12.554871,00:37:30
42.2536426,12.5618639,00:38:00
42.2508192,12.5702914,00:38:30
42.2479689,12.5786128,00:39:00
42.2423355,12.5838339,00:39:30
42.2369655,12.5895248,00:40:00
42.2305618,12.5916217,00:40:30
42.2237526,12.5920651,00:41:00
42.2179789,12.596739,00:41:30
42.2120418,12.600991,00:42:00
42.2055158,12.6034311,00:42:30
42.1988255,12.6031529,00:43:00
42.1920648,12.6036261,00:43:30
42.1852585,12.6026085,00:44:00
42.178559,12.6031743,00:44:30
42.1729751,12.6085183,00:45:00
42.1674311,12.6139415,00:45:30
42.1618797,12.6193507,00:46:00
42.1559425,12.6238464,00:46:30
42.1491683,12.6241732,00:47:00
42.142595,12.6215985,00:47:30
42.1360368,12.6189417,00:48:00
42.1293647,12.6170097,00:48:30
42.1225444,12.6176029,00:49:00
42.1157543,12.6187998,00:49:30
42.1089633,12.6199864,00:50:00
42.1021727,12.6211769,00:50:30
42.0957349,12.6241686,00:51:00
42.0898188,12.6288118,00:51:30
42.0838627,12.6333632,00:52:00
42.0775571,12.6369109,00:52:30
42.0708152,12.6383941,00:53:00
42.0639687,12.6384928,00:53:30
42.0576449,12.6414558,00:54:00
42.0535742,12.6488261,00:54:30
